n,repetitions,time
     0,     1420,0.000001
    10,     1209,0.000001
    20,      902,0.000001
    30,      592,0.000002
    40,      380,0.000003
    50,      266,0.000004
    60,      197,0.000005
    70,      151,0.000007
    80,      120,0.000008
    90,      101,0.000010
   100,       84,0.000012
   200,       24,0.000043
   300,       12,0.000091
   400,        7,0.000158
   500,        5,0.000244
   600,        3,0.000349
   700,        3,0.000472
   800,        2,0.000616
   900,        2,0.000773
  1000,        2,0.000985
