n,repetitions,time
     0,     1443,0.000001
    10,     1283,0.000001
    20,     1310,0.000001
    30,     1215,0.000001
    40,     1118,0.000001
    50,     1029,0.000001
    60,      959,0.000001
    70,      899,0.000001
    80,      842,0.000001
    90,      797,0.000001
   100,      754,0.000001
   200,      490,0.000002
   300,      361,0.000003
   400,      283,0.000004
   500,      237,0.000004
   600,      203,0.000005
   700,      181,0.000006
   800,      155,0.000006
   900,      144,0.000007
  1000,      133,0.000008
