n,repetitions,time
     0,     1697,0.000001
    10,     1393,0.000001
    20,      893,0.000001
    30,      584,0.000002
    40,      373,0.000003
    50,      261,0.000004
    60,      177,0.000006
    70,      135,0.000007
    80,      110,0.000009
    90,       91,0.000011
   100,       77,0.000013
   200,       22,0.000046
   300,       11,0.000100
   400,        6,0.000172
   500,        4,0.000258
   600,        3,0.000371
   700,        3,0.000485
   800,        2,0.000630
   900,        2,0.000794
  1000,        2,0.000979
