n,repetitions,time
     0,     1788,0.000001
    10,     1388,0.000001
    20,      894,0.000001
    30,      580,0.000002
    40,      370,0.000003
    50,      260,0.000004
    60,      177,0.000006
    70,      133,0.000008
    80,      106,0.000009
    90,       87,0.000012
   100,       72,0.000014
   200,       21,0.000049
   300,       10,0.000105
   400,        6,0.000178
   500,        4,0.000273
   600,        3,0.000380
   700,        2,0.000514
   800,        2,0.000661
   900,        2,0.000819
  1000,        1,0.001003
