n,repetitions,time
     0,     1842,0.000001
    10,     1489,0.000001
    20,      969,0.000001
    30,      629,0.000002
    40,      407,0.000002
    50,      289,0.000003
    60,      198,0.000005
    70,      151,0.000007
    80,      116,0.000009
    90,       99,0.000010
   100,       78,0.000013
   200,       21,0.000048
   300,       11,0.000093
   400,        7,0.000162
   500,        4,0.000257
   600,        3,0.000380
   700,        3,0.000488
   800,        2,0.000653
   900,        2,0.000820
  1000,        1,0.001026
